date	classification	total_volume	total_pnl	trade_count
18-11-2024	Extreme Greed	2084339.58	4470.815187	346
19-11-2024	Extreme Greed	628031.15	2958.268991	305
20-11-2024	Extreme Greed	1999514.12	4210.092897	550
21-11-2024	Extreme Greed	598300.62	1692.430891	535
22-11-2024	Extreme Greed	1646713.62	-18105.34562	679
23-11-2024	Extreme Greed	516245.68	2901.531638	363
24-11-2024	Extreme Greed	664952.28	945.550386	172
25-11-2024	Extreme Greed	937410.87	5523.740734	255
26-11-2024	Extreme Greed	1146902.44	1094.809359	302
27-11-2024	Extreme Greed	1444242.53	-2654.495633	213
28-11-2024	Extreme Greed	1894225.15	-127075.3996	332
29-11-2024	Extreme Greed	794262.91	176844.9942	393
30-11-2024	Extreme Greed	1732193.7	37316.69352	373
01-12-2024	Extreme Greed	814711.82	40886.36449	416
02-12-2024	Extreme Greed	585243.56	18489.60431	270
03-12-2024	Extreme Greed	1084666.53	23576.53929	374
04-12-2024	Extreme Greed	769287.65	292891.815	319
05-12-2024	Extreme Greed	1256750.79	71574.11849	456
06-12-2024	Greed	3471019.22	-92624.6439	403
07-12-2024	Extreme Greed	451733.42	85906.27907	304
08-12-2024	Extreme Greed	932939.72	15965.93344	420
09-12-2024	Extreme Greed	983949.68	6310.967676	539
10-12-2024	Extreme Greed	3150424.08	39325.77023	1596
11-12-2024	Greed	2194098.33	319051.5542	1221
12-12-2024	Extreme Greed	4557189.87	599151.795	1932
13-12-2024	Extreme Greed	2880824.64	31935.90175	1173
14-12-2024	Extreme Greed	2369561.78	167801.3992	1235
15-12-2024	Extreme Greed	2583269.81	97525.31528	1697
16-12-2024	Extreme Greed	2740808.97	166774.3441	1055
17-12-2024	Extreme Greed	5233597.63	219591.3052	1941
18-12-2024	Extreme Greed	3798887.07	13682.99467	1429
19-12-2024	Extreme Greed	8241709.39	62744.00449	3339
20-12-2024	Greed	7681274.71	254969.66	2488
21-12-2024	Greed	4382875.12	150022.1632	1681
22-12-2024	Greed	3087320.22	352197.164	774
23-12-2024	Greed	6771878.26	-29430.62658	2347
24-12-2024	Greed	1767036.11	14813.78012	338
25-12-2024	Greed	347889.35	756.657047	208
26-12-2024	Extreme Greed	2205242.65	60228.63972	697
27-12-2024	Greed	347913	2672.811035	260
28-12-2024	Greed	281555.01	940.673623	161
29-12-2024	Greed	344628.54	2884.067927	201
30-12-2024	Greed	1073865.73	9009.738137	304
31-12-2024	Greed	877164.62	5445.01281	306
01-01-2025	Greed	282582.1	-9528.065345	96
02-01-2025	Greed	774674.84	8716.519087	361
03-01-2025	Greed	771208.99	6028.486793	508
04-01-2025	Greed	1826029.62	2553.537968	371
05-01-2025	Greed	451943.57	3187.719363	239
06-01-2025	Extreme Greed	556526.99	6064.185393	573
07-01-2025	Extreme Greed	1313178.1	16098.22753	637
08-01-2025	Greed	3177275.18	130117.0906	1039
09-01-2025	Greed	1020733.25	46975.9289	522
10-01-2025	Neutral	6547449.68	-10116.87555	819
11-01-2025	Greed	1658098.71	2269.080536	283
12-01-2025	Greed	2258459.17	5742.241803	602
13-01-2025	Greed	2936648.01	9655.429352	408
14-01-2025	Greed	876581.97	16069.51236	275
15-01-2025	Greed	1801599.89	14819.5883	267
16-01-2025	Extreme Greed	3049692.96	20807.70933	371
17-01-2025	Extreme Greed	1110230.46	7006.415608	238
18-01-2025	Extreme Greed	2711629.88	443.233082	651
19-01-2025	Extreme Greed	9715215.3	87923.7993	1567
20-01-2025	Extreme Greed	8287327.01	87277.23917	1315
21-01-2025	Extreme Greed	1523729.82	11077.83942	530
22-01-2025	Extreme Greed	1778406.43	20524.40806	832
23-01-2025	Extreme Greed	3697028.66	101256.2422	1218
24-01-2025	Extreme Greed	1611433.45	10602.77974	874
25-01-2025	Extreme Greed	1239377.7	-10348.01626	506
26-01-2025	Greed	1201173.66	40823.46667	451
27-01-2025	Greed	1508028.31	41331.76539	773
28-01-2025	Greed	579412.17	17979.61397	498
29-01-2025	Greed	1897513.41	23421.01147	910
30-01-2025	Greed	3014397.17	23097.47139	1067
31-01-2025	Extreme Greed	2783411.48	35868.29677	1016
01-02-2025	Greed	1363746.44	32300.20502	634
02-02-2025	Greed	5661092.29	162854.7596	1319
03-02-2025	Fear	22592901.37	348871.3263	2380
04-02-2025	Greed	15678409.27	416876.8881	2512
05-02-2025	Neutral	8743231.51	56706.23556	1297
06-02-2025	Neutral	2818508.87	33803.79973	1703
07-02-2025	Fear	3460263.54	22450.00209	1524
08-02-2025	Fear	839734.97	586.703253	575
09-02-2025	Neutral	2920919.7	150551.8295	764
10-02-2025	Fear	3624958.44	63908.49465	889
11-02-2025	Neutral	2797544.17	-6093.784817	848
12-02-2025	Neutral	4143974.54	19848.63503	1031
13-02-2025	Neutral	3199852.21	27829.53424	1370
14-02-2025	Neutral	4007103.42	213860.6753	1655
15-02-2025	Neutral	1712852.95	45042.92701	932
16-02-2025	Neutral	806177.64	2369.478425	681
17-02-2025	Neutral	2031044.64	1818.573295	941
18-02-2025	Neutral	3371128.68	91204.6724	1676
19-02-2025	Fear	3263930.24	14985.7947	1361
20-02-2025	Neutral	4628609.29	46008.7941	2012
21-02-2025	Greed	3972159.88	119693.494	1873
22-02-2025	Neutral	3175570.2	25278.70418	686
23-02-2025	Neutral	1141310.74	10656.93425	520
24-02-2025	Neutral	11223619.59	38470.17624	5616
25-02-2025	Fear	19414984.36	204762.177	6246
26-02-2025	Extreme Fear	4946958.13	63229.06313	1176
27-02-2025	Extreme Fear	1999898.43	-36525.16752	890
28-02-2025	Extreme Fear	4123660.77	225628.1087	1019
01-03-2025	Extreme Fear	263824.13	10596.10897	174
02-03-2025	Fear	6460848.74	66914.32071	532
03-03-2025	Fear	8244590.38	616413.0322	1482
04-03-2025	Extreme Fear	11124247.15	182075.5666	2402
05-03-2025	Extreme Fear	9193654.22	269328.3659	1660
06-03-2025	Fear	6765324.96	16101.12556	760
07-03-2025	Fear	19854275.48	150236.0616	2552
08-03-2025	Fear	892083.51	24700.77336	529
09-03-2025	Fear	10419697.99	19773.4574	1422
10-03-2025	Extreme Fear	16811790.68	-10010.02727	2911
11-03-2025	Extreme Fear	14016952.09	-76880.72904	3286
12-03-2025	Fear	18618139.15	288105.9842	3968
13-03-2025	Neutral	3285591.22	14114.87087	962
14-03-2025	Fear	8047187.16	68646.16009	2210
15-03-2025	Neutral	2355749.54	78694.62457	261
16-03-2025	Fear	10187921.51	-7910.943545	530
17-03-2025	Fear	3592895.05	26163.90651	920
18-03-2025	Fear	4050655.47	72322.78882	834
19-03-2025	Fear	4598813.57	29374.68234	1612
20-03-2025	Neutral	1652257.93	10246.85944	771
21-03-2025	Fear	2543903.39	6951.270374	698
22-03-2025	Fear	971809.42	12498.53525	535
23-03-2025	Fear	2593519.67	14047.42159	447
24-03-2025	Neutral	3017587.05	107878.9613	1027
25-03-2025	Neutral	5372519.77	32030.90678	791
26-03-2025	Neutral	7597754.37	15802.16743	3102
27-03-2025	Fear	3240279.46	58825.35922	785
28-03-2025	Fear	1483092.61	21337.17934	728
29-03-2025	Fear	3668151.83	12098.87293	1894
30-03-2025	Fear	2850874.96	15795.11514	568
31-03-2025	Fear	2164772.47	6978.184557	495
01-04-2025	Fear	704445.19	-2202.662242	192
02-04-2025	Fear	3867930.6	202212.7409	1076
03-04-2025	Fear	8670233.15	-2365.961276	1748
04-04-2025	Fear	3835545.73	-25515.67895	1272
05-04-2025	Fear	1267564.22	35907.33771	360
06-04-2025	Fear	3551252.06	47053.44927	1048
07-04-2025	Extreme Fear	14460253.14	34527.37031	2814
08-04-2025	Extreme Fear	8869391.4	34899.3948	943
09-04-2025	Extreme Fear	28556806.47	43120.4448	3967
10-04-2025	Fear	28741953.29	158261.8223	2127
11-04-2025	Fear	11319327.07	126406.4791	1096
12-04-2025	Fear	55914617.49	410419.6945	2109
13-04-2025	Neutral	14171154.79	48696.02152	1321
14-04-2025	Fear	13079972.98	45680.44306	890
15-04-2025	Fear	20752168.24	72357.70628	1131
16-04-2025	Fear	36502715.9	58631.73026	1608
17-04-2025	Fear	2604551.51	5427.919886	1031
18-04-2025	Fear	24610650.46	4880.404744	1894
19-04-2025	Fear	32706462.71	71950.5775	2786
20-04-2025	Fear	12126094.05	25060.34194	1982
21-04-2025	Fear	42104054.84	34369.26791	1718
22-04-2025	Neutral	33753625.24	58652.76358	2998
23-04-2025	Greed	30682443.79	-419020.2257	6159
24-04-2025	Greed	35088918.64	50704.39597	2232
25-04-2025	Greed	27749455.78	20218.85921	1653
26-04-2025	Greed	11948127.77	-4125.753942	1131
27-04-2025	Greed	487537.69	2702.067468	337
28-04-2025	Neutral	26124921.49	36906.81376	1379
29-04-2025	Greed	34089511.66	125749.6134	2243
30-04-2025	Greed	12693878.85	14003.79727	1113
01-05-2025	Neutral	10720240.52	54536.8293	1230
